C,l1_ratio,top_k,n_estimators,max_depth,mean_accuracy,mean_balanced_accuracy,mean_f1
1.0,0.3,20,300,5.0,0.75,0.7466666666666668,0.7349244505494504
1.0,0.3,50,300,5.0,0.75,0.7555555555555555,0.7444183594183593
0.1,0.5,50,300,10.0,0.75,0.7577777777777779,0.7441045066045067
1.0,0.3,20,300,10.0,0.75,0.7511111111111111,0.7439453601953602
1.0,0.5,50,100,,0.75,0.7555555555555555,0.7444784382284382
0.1,0.3,50,300,5.0,0.75,0.7555555555555556,0.7476695526695527
0.1,0.5,100,100,,0.75,0.7555555555555556,0.7483896658896659
0.1,0.5,50,100,,0.75,0.7577777777777779,0.7449397824397824
0.1,0.5,100,100,5.0,0.75,0.7555555555555556,0.7483896658896659
0.1,0.5,20,300,5.0,0.75,0.7555555555555555,0.7439938533688534
10.0,0.5,50,300,,0.75,0.7488888888888889,0.7431288156288156
10.0,0.3,100,100,,0.75,0.7577777777777779,0.7426345876345876
10.0,0.7,50,100,,0.75,0.7555555555555556,0.7442128704628704
10.0,0.5,50,300,10.0,0.75,0.7488888888888889,0.7431288156288156
1.0,0.7,100,100,5.0,0.75,0.7577777777777778,0.7409009046509046
1.0,0.7,20,100,10.0,0.75,0.7555555555555555,0.7471756715506717
10.0,0.3,100,100,10.0,0.75,0.7577777777777779,0.7426345876345876
10.0,0.3,100,100,5.0,0.75,0.7533333333333333,0.7454754967254967
10.0,0.3,50,100,5.0,0.75,0.7488888888888889,0.7421764346764347
10.0,0.7,50,100,10.0,0.75,0.7555555555555556,0.7442128704628704
10.0,0.3,20,100,,0.75,0.7533333333333334,0.7355235042735042
1.0,0.7,20,300,10.0,0.75,0.7555555555555555,0.7471756715506717
0.1,0.5,50,300,5.0,0.75,0.7577777777777779,0.7441045066045067
0.1,0.5,50,100,10.0,0.75,0.7577777777777779,0.7449397824397824
10.0,0.3,20,300,5.0,0.7375,0.7400000000000001,0.7245299145299146
1.0,0.7,50,300,5.0,0.7375,0.7444444444444445,0.7300442612942613
